#ID,RA,DEC,RA_err,Dec_err
450.000000,53.621379,-27.163199,5.756221,5.756221
458.000000,53.387548,-26.930508,4.824957,4.824957
462.000000,53.569874,-27.432987,5.067228,5.067228
493.000000,53.386743,-28.371361,5.004205,5.004205
495.000000,53.381760,-27.903342,5.221703,5.221703
498.000000,53.726510,-28.053976,4.468052,4.468052
504.000000,53.884198,-27.238121,8.171002,8.171002
507.000000,53.778495,-28.203731,4.725859,4.725859
509.000000,53.390915,-28.233738,5.229383,5.229383
516.000000,53.493960,-27.168860,4.674611,4.674611
533.000000,53.902032,-27.769196,4.576367,4.576367
559.000000,53.834793,-27.785286,7.146733,7.146733
584.000000,53.672078,-27.684434,5.754394,5.754394
613.000000,53.537145,-27.728358,14.978080,14.978080
617.000000,53.857038,-27.032081,6.794688,6.794688
621.000000,53.413165,-28.001361,5.513804,5.513804
668.000000,53.459010,-27.435777,5.001520,5.001520
693.000000,53.575426,-27.823431,5.021181,5.021181
706.000000,53.530653,-28.119069,4.883777,4.883777
734.000000,53.695129,-28.154865,5.386303,5.386303
737.000000,53.871683,-27.799513,5.744349,5.744349
754.000000,53.996103,-28.052733,5.266162,5.266162
810.000000,53.426067,-27.388903,4.679508,4.679508
827.000000,53.871117,-27.146161,5.208426,5.208426
840.000000,53.984740,-27.794787,13.285201,13.285201
